PhraseId,Sentiment
156061,3
156062,3
156063,3
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,1
156072,2
156073,1
156074,2
156075,0
156076,2
156077,4
156078,2
156079,2
156080,0
156081,1
156082,0
156083,2
156084,2
156085,2
156086,2
156087,1
156088,2
156089,2
156090,4
156091,2
156092,2
156093,2
156094,3
156095,2
156096,3
156097,2
156098,4
156099,0
156100,4
156101,0
156102,2
156103,2
156104,2
156105,2
156106,2
156107,4
156108,4
156109,3
156110,4
156111,2
156112,0
156113,2
156114,2
156115,2
156116,2
156117,0
156118,2
156119,2
156120,1
156121,2
156122,0
156123,2
156124,2
156125,2
156126,4
156127,3
156128,2
156129,1
156130,2
156131,2
156132,2
156133,2
156134,2
156135,4
156136,2
156137,0
156138,2
156139,1
156140,1
156141,1
156142,0
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,0
156151,2
156152,2
156153,2
156154,0
156155,2
156156,2
156157,2
156158,3
156159,2
156160,2
156161,2
156162,0
156163,2
156164,2
156165,2
156166,0
156167,4
156168,0
156169,2
156170,2
156171,0
156172,1
156173,0
156174,4
156175,4
156176,3
156177,4
156178,3
156179,4
156180,3
156181,3
156182,1
156183,3
156184,0
156185,3
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,4
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,0
156200,4
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,2
156208,0
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,0
156216,2
156217,2
156218,0
156219,3
156220,2
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,1
156228,1
156229,2
156230,0
156231,2
156232,1
156233,2
156234,2
156235,2
156236,3
156237,1
156238,3
156239,4
156240,3
156241,4
156242,4
156243,3
156244,3
156245,3
156246,3
156247,4
156248,4
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,4
156257,2
156258,1
156259,4
156260,2
156261,2
156262,2
156263,3
156264,3
156265,0
156266,3
156267,3
156268,2
156269,1
156270,1
156271,0
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,4
156279,4
156280,4
156281,4
156282,3
156283,3
156284,2
156285,2
156286,3
156287,3
156288,3
